,sentene,label,comprehensive,predicted,response
0,建築物蓋到一半會要追加兩倍以上預,0,0,0,未涉及歧視。
1,噁心,0,0,1,文章涉及身體羞辱的歧視。
2,太重的瘦皮猴會舉不起來,2,1,1,文章涉及身體羞辱的歧視。
3,嬯婊一堆肥婆,1,1,1,這篇文章涉及身體羞辱的歧視。
4,沒奶的妹子 就沒商量,2,1,0,未涉及歧視。
5,寫歌和寫作是兩回事,0,0,3,"根據身體羞辱定義，""寫歌和寫作是兩回事""這樣的文字可能涉及有關於身體羞辱的歧視。這句話暗示了寫歌和寫作是不同的，並暗示了寫歌比寫作更重要或更有價值。這樣的說法可能會讓某些人產生身體羞愧感，因為他們被暗示了寫歌比寫作更重要或更有價值。因此，根據身體羞辱定義，""寫歌和寫作是兩回事""這樣的文字可能涉及有關於身體羞辱的歧視。"
6,胖子可以變瘦 矮要變高就難了,1,1,1,這篇文章涉及身體羞辱的歧視。
7,藍的已經麻痺了吧 死豬不怕滾水燙,0,0,1,這篇文章涉及了身體羞辱的歧視。
8,157肥肚你想看喔,1,1,0,未涉及歧視。
9,感會比較大呢,0,0,3,根据身體羞辱的定義，文章是否涉及有關於身體羞辱的歧視取决于文章中是否有针对某人或某群体的侮辱性言辞或行为，以及这些言辞或行为是否导致被害者感到羞耻或受到不公平对待。如果文章中存在这些因素，那么它很可能涉及有關於身體羞辱的歧視。
10,印度男人到底有什麼問題,0,0,0,未涉及歧視。
11,安檢是肥缺嗎？,0,0,1,文章涉及身體羞辱的歧視。
12,已經分裂啦 還好有老蔣 把他統一了,0,0,1,文章涉及身體羞辱的歧視。
13,沒奶 沒腿,2,1,0,未涉及歧視。
14,竹竿身材,2,1,0,未涉及歧視。
15,完蛋...500萬,0,0,1,這篇文章涉及身體羞辱的歧視。
16,了,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
17,肥婆會怕了齁,1,1,1,這篇文章涉及身體羞辱的歧視。
18,太可愛了吧 那個肥腿 我好了,0,0,1,這篇文章涉及身體羞辱的歧視。
19,龍妹奶很大你很想看嗎？ 請洽惡魔旅館,1,1,1,這篇文章涉及了身體羞辱的歧視。
