,sentene,label,comprehensive,predicted,fat_skinny,response_Q1,response_Q2
0,建築物蓋到一半會要追加兩倍以上預,0,0,3,3,根據身體羞辱定義，建築物蓋到一半會要追加兩倍以上預，這種行為可能涉及有關於身體羞辱的歧視，因為該行為可能讓被害者感到負面、冒犯或使其產生身體羞恥感，並且可能與善意或惡意的建議相關聯。然而，這種行為並不一定涉及惡意的身體羞辱，因為它可以是從善意到惡意的變化。因此，這篇文章可能涉及有關於身體羞辱的歧視。,Q1 無法判斷
1,噁心,0,0,0,0,身體羞辱定義與文章內容無關，因此不涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
2,太重的瘦皮猴會舉不起來,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於一個重點的評論是“太重的瘦皮猴會舉不起來”，這個評論的意義是有關於一個人的重量和身體特徵，並且這個評論是對於一個人的負面評論。然而，這個評論的意義並非從善意到惡意，而是一種負面和具有冒犯性的評論，因此這個評論可能會被視為身體羞辱。,這篇文章是歧視瘦子的文章。
3,嬯婊一堆肥婆,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。嬯婊和肥婆這兩個詞在中文語境中通常被用來指代同一個實際人物，因此這兩個詞的使用可能會讓人感到歧視。此外，文章的觀點也存在一些不適當的地方，例如對於女性身體的評論可能會讓人感到冒犯。因此，這篇文章可能會對一些人造成歧視。,這篇文章是歧視胖子的類型。
4,沒奶的妹子 就沒商量,2,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於一個沒奶的女生進行了負面評論，並且說這個女生沒有商量的余地。這種行為符合身體羞辱定義，因為在這種行為中，加害者不請自來對目標身體表達負面意見或評論，並且使被害者產生身體羞恥感。,這篇文章是歧視胖子的文章。
5,寫歌和寫作是兩回事,0,0,0,0,身體羞辱定義與文章內容無關，因此不涉及有關於身體羞辱的歧視。寫歌和寫作是兩種不同的寫作方式，並沒有特別的含義。,Q1 判斷無歧視
6,胖子可以變瘦 矮要變高就難了,1,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，這篇文章僅僅提到胖子可以變瘦，矮要變高就難了，並未涉及身體羞辱的範圍。因此，這篇文章不涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
7,藍的已經麻痺了吧 死豬不怕滾水燙,0,0,0,0,"這兩篇文章都未涉及有關於身體羞辱的歧視。

第一篇文章描述了一種非重複性的行為，即加害者對目標身體表達負面意見或評論。這種行為並不一定有意傷害被害者，但被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。這兩篇文章都沒有說明身體羞辱的概念，也沒有說明該概念是否涉及歧視。

第二篇文章描述了一個人對另一個人的評論，其中該人使用了藍色和死豬這兩個詞語。這兩個詞語在這篇文章中並沒有被描述為負面或惡意的，因此這篇文章沒有涉及有關於身體羞辱的歧視。",Q1 判斷無歧視
8,157肥肚你想看喔,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章提到一個人對另一個人的身體進行負面評論，並且使用了“157肥肚”這個詞語來描述。這種行為可能會被視為身體羞辱，因為它們暗示了對被評論者的冒犯和負面意見。因此，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
9,感會比較大呢,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。由於身體羞辱是一種非重複性行為，因此無法確定該文章是否屬於一種特定的身體羞辱。此外，由於身體羞辱的範圍從善意的建議到惡意的羞辱，因此該文章可能會受到不同人的不同看法，這也增加了該文章的歧視性。,根據所給文獻，該文章似乎涉及身體羞辱，但並沒有明確指定是歧視瘦子或歧視胖子。因此，該文章可能属于雙重身體羞辱，即既涉及歧視瘦子，也涉及歧視胖子。因此，我們可以答覆“雙重身體羞辱”或“兩重身體羞辱”。
10,印度男人到底有什麼問題,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，這篇文章並沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
11,安檢是肥缺嗎？,0,0,3,3,安檢是肥缺的定義可能涉及有關於身體羞辱的歧視，因為這種定義可能讓人覺得安檢師的職責是對肥體進行建議，而不是對身體進行羞辱。身體羞辱的範圍從善意的建議到惡意的羞辱，因此這種定義可能會引起歧視。,Q1 無法判斷
12,已經分裂啦 還好有老蔣 把他統一了,0,0,0,0,這兩篇文章都未涉及有關於身體羞辱的歧視。在這兩篇文章中，加害者和被害者都是正確的，而且這些行為都是非重複性的。因此，這兩篇文章都沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
13,沒奶 沒腿,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該词彙被用來描述一個人，這個人被描述為沒有奶或沒有腿，這種描述可能會被視為負面、冒犯性和使該人產生身體羞恥感。這種描述可能會被視為身體羞辱，因為它們描述了一個人的生理缺陷，這種行為可能會引起歧視。,這篇文章是歧視瘦子類型。
14,竹竿身材,2,1,3,3,根據身體羞辱定義，竹竿身材可能被視為負面評論或羞辱，因為這種身材被稱為“瘦削”、“體質狀況不佳”等，這些評論可能會使被評論者感到羞恥或受到冒犯。因此，該文章可能涉及有關於身體羞辱的歧視。,Q1 無法判斷
15,完蛋...500萬,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。該文章描述了一個人對另一個人的評論，並且發現這種評論可能具有負面意見或冒犯性，這樣的行為就符合身體羞辱的定义。然而，由於該評論的行為是從善意到惡意的，因此可能不會對被評論者產生身體羞恥感，因此不會完全涉及有關於身體羞辱的歧視。,這篇文章可能是歧視胖子類型。
16,了,0,0,3,3,這篇文章根據身體羞辱定義，描述了一種行為，其中加害者對目標身體表達負面意見或評論，但被害者認為這是負面、具有冒犯性的，因此產生身體羞恥感。這種行為可能涉及有關於身體羞辱的歧視，因為該行為可能被视为對目標身體的惡意評論或羞辱，而沒有被認為是對被評論者的冒犯或傷害。,Q1 無法判斷
17,肥婆會怕了齁,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者用“肥婆”這個詞語來形容一個人，這個詞語在中文內具有負面意見，因此該詞語被視為對於這個人的羞辱。這種行為不符合身體羞辱定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。,這篇文章是歧視胖子的類型。
18,太可愛了吧 那個肥腿 我好了,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。但是，這篇文章並沒有涉及有關於身體羞辱的歧視，因為它並沒有對肥腿進行負面評論或表達惡意意見。,Q1 判斷無歧視
