,userID,tag,content,date,year,label
0,daydreamer13,→,建築物蓋到一半會要追加兩倍以上預,07/23,2022.0,0
1,ezafine,噓,噁心,05/11,2022.0,0
2,CycleEnergy,推,太重的瘦皮猴會舉不起來,11/29,2021.0,2
3,Sam717,推,嬯婊一堆肥婆,06/06,2022.0,1
4,vajra0001,推,沒奶的妹子 就沒商量,03/17,2022.0,2
5,ecchi,→,寫歌和寫作是兩回事,12/27,2021.0,0
6,milk517258,推,胖子可以變瘦 矮要變高就難了,01/31,2022.0,1
7,yw1002,→,藍的已經麻痺了吧 死豬不怕滾水燙,12/23,2021.0,0
8,kt40,→,157肥肚你想看喔,05/04,2022.0,1
9,Howard61313,→,感會比較大呢,03/09,2022.0,0
10,beaukevin,推,印度男人到底有什麼問題,04/16,2022.0,0
11,toshizo,→,安檢是肥缺嗎？,12/16,2022.0,0
12,StylishTrade,推,已經分裂啦 還好有老蔣 把他統一了,05/18,2022.0,0
13,cms6384,推,沒奶 沒腿,09/13,2021.0,2
14,alex00089,→,竹竿身材,12/11,2021.0,2
15,marknm,→,完蛋...500萬,08/18,2022.0,0
16,ChikanDesu,→,了,12/05,2022.0,0
17,pytzog,推,肥婆會怕了齁,04/07,2022.0,1
18,teleportcat,推,太可愛了吧 那個肥腿 我好了,03/04,2022.0,0
19,kiopl,→,龍妹奶很大你很想看嗎？ 請洽惡魔旅館,05/08,2022.0,1
20,cloud1030,推,台灣就紫卡倉管,12/29,2022.0,0
21,TaiwanKimchi,推,沒奶就算了 連翹臀也沒有,01/08,2022.0,2
22,shazuei,推,當年連軍校都搶破頭 能考上警專算很猛了,02/12,2022.0,0
23,chocopoodle,→,在意個肥婆開條件不知道要幹嘛,01/27,2022.0,1
24,F91,→,爸媽當肥羊花大錢救回台灣 結果被肥婆騙砲,08/08,2022.0,1
25,superyou,推,肥短腿,03/18,2022.0,1
26,howardyeh,→,她由黑變白，蘿蔔腿變鳥仔腳，人家其實,01/26,2022.0,2
27,kuijun228,推,我會 畢竟你不知道哪一次司機沒過勞,11/11,2022.0,0
28,VVizZ,→,沒奶子不可以,09/06,2022.0,2
29,soulivee,推,不給幹處女正妹 vs 榨汁機龍妹才有得比,09/25,2021.0,1
30,fishclamp,推,生老病死，一路好走,11/19,2022.0,0
31,milkBK,推,就那種打不贏瘦皮猴拳手的人啊,04/20,2022.0,2
32,j022015,推,:ＸＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤ,10/19,2011.0,0
33,peiring,→,脂肪肝跟體重沒一定，我認識好幾個紙片人,01/02,2022.0,2
34,dogmax,噓,:銀正雄寄遺書回家表示厭世自殺家人報警查詢,09/13,2013.0,0
35,HONNE,噓,你去話火節會想找龍妹嗎？同理可証！,04/29,2022.0,1
36,belister,噓,沒奶又沒屁股,07/03,2022.0,2
37,gamma8902,噓,所以之前是在凹什麼,08/09,2022.0,0
38,karpa,→,"要注意你說的是平均,不是娶刁女或龍妹",09/13,2021.0,1
39,lin5656,推,超討厭黃，醜貓胖貓,01/24,2022.0,0
40,eason10,→,人家肥宅至少懂得藏拙，一堆台女肥醜就,01/09,2022.0,1
41,wonder007,推,不然龍妹會常常遇到怪人搭訕嗎,05/31,2022.0,1
42,a114261,推,誰知道肥宅會不會嫖妓 醜又人品差才慘,12/18,2021.0,1
43,fan5566,→,你同學是不是矮矮胖胖的,12/07,2021.0,1
44,SiLlYWanKer,推,都不知道原來阿塵這麼龐大,05/20,2022.0,0
45,Clieff,推,粗暴言論 duck不必,04/10,2022.0,0
46,khalid,→,"是贏了,但也瘦到皮包骨差點DQ,還好最後階",06/20,2022.0,2
47,yakifone,推,內行啊，改開F8F對戰烈風啊,06/20,2022.0,0
48,Murasaki0110,推,肥婆走開 小熊我可以10次,09/03,2022.0,1
49,kid1a2b3c4d,推,這就是偷沒錯啊= =,11/13,2021.0,0
50,King5566,→,鳥仔腳退流行了,09/26,2022.0,2
51,stlevi811101,→,你想臭九妹齁 他那個肥肚,07/10,2022.0,1
52,rasen9,→,就搶著舔了 一堆龍妹也跩個258萬的,10/25,2022.0,1
53,gaba000,推,心機肥婆港女養的吉娃娃,06/13,2022.0,1
54,terrykoc,→,架肌肉對抗力量差太多了,12/11,2022.0,0
55,redcarp0702,推,笑死 硬要開大型施打站 結果其他縣市,06/01,2022.0,0
56,mytoychiu,推,那個水桶腰 別騙我 這隻是豬吧,06/22,2022.0,1
57,EEzionT,推,他沒來你準備娶龍妹  巴結一點,09/24,2021.0,1
58,ufowilliam,→,肥胖 超噁心,03/18,2022.0,1
59,wwvvkai,→,怎麼都沒奶子,10/20,2022.0,2
60,forhorde5566,推,龍妹傳給你的訊息你不讀，也很浪漫?,10/18,2021.0,1
61,BaGaJohn5566,推,科技業啊  一堆醜女都有辦公室肥宅,09/04,2021.0,0
62,gebaho,→,沒奶子,09/11,2021.0,2
63,elwyn,推,扁奶醜女,05/27,2022.0,2
64,seuil,→,瘦皮猴最愛秀腹肌了 體能超弱的一堆,10/24,2021.0,2
65,dtdon1699,→,他沒得篩的出嗎 笑死人,04/30,2022.0,0
66,dsce,推,DPP都很喜歡洗別人是草包,11/29,2022.0,0
67,ssmm5566,推,他有做事嗎？新竹一直塞,07/13,2022.0,0
68,milk830122,推,反觀那個手在抖的,02/16,2022.0,0
69,pswen,→,友，就算很醜的也有男友所以跟肥沒關係吧,07/15,2022.0,1
70,espresso1,推,應該沒人敢送上瘦巴巴的鳥,07/04,2022.0,2
71,eason10,→,(〒︿〒),04/10,2022.0,0
72,JayceYen,→,死肥豬真弱智,08/09,2022.0,1
73,d89413208,推,瘦排骨,09/15,2021.0,2
74,zzyyxx77,→,winamp,01/08,2022.0,0
75,laihom0808,推,劉德華一直都說是中國人，立場又沒變,01/03,2023.0,0
76,eco100,推,紙片人路跑 紙片人烤肉大會 紙片人大胃王比賽 紙片人....,06/04,2015.0,2
77,hide0325,→,這種比較胖 矮 個性溫馴,12/10,2021.0,1
78,achun1212,→,車主應該是8+9瘦皮猴？,03/31,2022.0,2
79,visviva,→,原代理沒去招標？,05/04,2022.0,0
80,JayceYen,推,死肥豬,08/09,2022.0,1
81,OomaybeoO,推,沒奶 給推但沒興趣,02/14,2022.0,2
82,morris,推,側翼真的是藉口 中央執政太爛黑道縱橫,11/27,2022.0,0
83,Joker3,→,你知道全能住宅後來多起官司糾紛嗎?,12/29,2021.0,0
84,cccc1730,推,有瘦皮猴混在裡面了 恥辱啊,05/06,2022.0,2
85,yiyin330,噓,最好是長相普通,04/29,2022.0,0
86,february2,→,國人跟都矮矮瘦瘦扁扁的,07/30,2022.0,2
87,polyasia,→,上的問題,12/23,2021.0,0
88,JustWinslow,→,還互動六個月 笑死 龍妹智商,05/17,2022.0,1
89,koromo1991,→,到底誰會選隻瘦皮猴,09/29,2022.0,2
90,edweepvp,推,腿粗也是有一定行情好嗎 又不是每個都,10/08,2021.0,0
91,iwilltry,推,那江大胖屬實的話也太噁了吧,08/25,2021.0,0
92,gx8759121,→,你可以伸進肥宅的屁股感受一下,09/26,2022.0,1
93,OPWaug,推,狗娘肛門生的國民黨髒蛆跟死肥豬支持者快找理由啊哈哈,09/16,2014.0,1
94,TaiwanUp,→,有些人完全狀況外還可以大言不慚罵蠢蛋,08/07,2022.0,0
95,AustinRivers,推,ee.肥婆....表示,09/20,2022.0,1
96,UGLYLOSERS,推,長得又醜又肥就不會被強姦了,04/28,2022.0,1
97,taboothorn,→,們這些共匪高官在搞事情，只出一張嘴,06/12,2022.0,0
98,owlman,推,是合理啦 紙片人最好拉得住哈士奇,10/27,2021.0,2
99,yuta02,噓,低能兒死肥豬,01/02,2022.0,1
100,leoptt10,推,廢話 肥宅整天幻想結果自己跟醜肥甲一,04/13,2022.0,1
101,yoyoyo916,噓,又是這肥婆,08/17,2022.0,1
102,ASUSboy,噓,看到基進基本上就知道是認知作戰了,01/05,2023.0,0
103,DIVIS,→,去鄉下一堆未成年黑衣瘦皮猴+9成群結隊,12/27,2021.0,2
104,P00832129,噓,這種體重在八卦版是紙片人等級,11/15,2021.0,2
105,TexasFlood,→,沒奶子沒黏著度,07/19,2022.0,2
106,chubby31190,推,那個女演員是誰啊,07/15,2022.0,0
107,benptt,→,肥宅醜鬼,02/28,2022.0,1
108,greedypeople,→,不只有男友  而且又胖又醜又不有錢  超崩潰的,10/27,2015.0,1
109,fransice7,噓,貧乳沒奶子滾,09/17,2022.0,2
110,g29186280,→,續抽我的，沒錢看你能怎樣，科科,11/11,2022.0,0
111,kosuke,→,本板標準 鳥仔腳=身材好,09/05,2021.0,2
112,stratege,噓,很明顯你是想酸海線死胖子大甲豬肥標吧,11/07,2021.0,1
