,userID,tag,content,date,year,label
0,kl2991,推,蔡母狗陳肥婆派來滅證的嗎,12/03,2021,1
1,jab,推,高薪找不到人 笑死人 台積電紅包發多少,08/15, 2022,0
2,LoveMakeLove,推,鵝,09/21, 2022,0
3,cgluck,推,很肥又很醜的另當別論,08/29,2022,1
4,zaqwsxjason,→,龍妹嘔嘔嘔,10/01,2021,1
5,chewie,→,推,01/22, 2022,0
6,xjiang,推,文智說：,11/11, 2022,0
7,showhere,推,我自己是不喜歡腿粗的模樣,11/01,2021,1
8,teemo0330,噓,死肥豬問題真多,03/18,2022,1
9,khastw,推,"可能警察判斷一個醉漢,不值得開槍吧",02/28, 2022,0
10,touchbird,推,就一堆台男肥婆也照吃,01/27,2022,1
11,gentleman317,推,肥宅醜男紛紛落馬,05/07,2022,1
12,GianniC,噓,又醜又肥的貓,10/10,2021,0
13,j55888819,→,大考中心就故意搞人阿 廢物肥貓機構,02/25, 2022,0
14,rock7130jp,→,完了完了，全營要洞8了，想當年營區,01/02, 2023,0
15,jo78jo78,噓,肥婆,03/29,2022,1
16,philip81501,噓,又是JOSH,09/07, 2022,0
17,huigo,→,中國畜生真沒人性,07/08, 2022,0
18,sevenway777,推,誇張,06/04, 2022,0
19,sazdj,→,又醜又胖的,07/26,2022,1
20,wn7158,推,臉醜又肥，做一樣的事，就準備被法辦,12/11,2021,1
21,allyourshit,推,難怪王八千後來越肥 胖得像豬頭,08/29,2022,1
22,MaBumblerQQ,推,醜男+龍妹有什麼好看,07/11,2022,1
23,gankgf,→,奇美 南院,07/19, 2022,0
24,tommyhlu,→,龍妹有,01/07,2022,1
25,liwmewmew,推,說當女生爽的，祝你們投胎成歪龍妹XD,06/29,2022,1
26,Ritsukamomo,→,個說法，肥婆母豬任她挑選,02/19,2022,1
27,kuosambition,→,不過實際上應該是被肥宅的屁股擠死,10/31,2022,1
28,kevin1221,→,敢激凸就推，反觀台灣空杯扁奶怪,08/26,2022,1
29,haseo00,→,確定是女的？後面說不定時肥肚中年大叔,12/29,2021,1
30,ibukitsuki,推,馬雅人推。,09/08, 2019,0
31,liusean,推,肥肚肚,01/11,2022,1
32,AlanLinKL,噓,無聊,06/09, 2022,0
33,Sabo5566,→,身材真差 男性女乳症＋肥肚,03/03,2022,1
34,bigwhite327,推,不想害肥宅更胖了,04/24,2022,1
35,jasonpig,推,要是定點收我一定不會分什麼廚餘回收,06/01, 2022,0
36,km612tw,噓,幹你媽的 還以為是北韓蔡小胖,01/19,2022,1
37,ccufcc,推,8+9排骨身材,11/09,2021,2
38,MarcPolo,→,肥婆的藉口,09/24,2021,1
39,Magiko,→,這死肥豬,10/30,2021,1
40,b9513227,→,好了啦 無聊雷片,07/11, 2022,0
41,ayakiax,噓,你同意但你有問中央嗎？,04/27, 2022,0
42,Blue6,噓,2,04/09, 2022,0
43,rlhl7799,推,顏色對了,01/27, 2022,0
44,lovefisk,推,就說我負責了   齁齁齁,05/25, 2022,0
45,markkao456,噓,垃圾支那報 滾,03/09, 2022,0
46,ymib,推,8000滾動數椅子肥豬真他媽噁心,04/12,2022,1
47,Ceferino,噓,升官了耶 ^^,03/15, 2022,0
48,Misscat16868,→,是說那肥婆叫那個身旁高高的那個男,06/18,2022,1
49,casper200695,→,非要清零？,02/05, 2022,0
50,bolu0401,推,死胖子幹,03/21,2014,1
51,dslite,→,沒奶子看了,10/24,2021,0
52,josLynYa,→,龍妹奶大看了也還是噁,10/23,2022,1
53,MaBumblerQQ,推,醜 沒奶,08/28,2021,2
54,OomaybeoO,推,沒奶 給推但沒興趣,02/14,2022,2
55,yeardoss,→,又不正 不挑的話你也能找到18歲的龍妹,10/16,2021,1
56,acxsport,推,笑死,09/07, 2022,0
57,jma306,→,民進黨真是噁心,12/21, 2022,0
58,hirok,噓,幹 還好離世前有人對她好 死胖毛你幹得好,11/29,2021,1
59,ausstin,推,那邊一堆追焦跟壓車仔,12/10, 2021,0
60,sweetsmoke,推,死肥豬,11/19,2021,1
61,Kultivient,→,台灣根本滿街扁奶 普遍到還有台女大概,03/28,2022,2
62,kawazakiz2,→,現在都鳥仔腳，明明肉一點才好看啊,02/24,2022,2
63,b9211173,推,緬甸很排外 小氣量的國家,01/04, 2023,0
64,yoomin4u,噓,台女比較胖腿比較粗？？？,02/20,2022,1
65,a1210122,噓,人渣，還有臉講這種話,10/13, 2022,0
66,MikeChao,→,說陶喆開創R&B時代才對吧 周的R&B是變出,10/31, 2021,0
67,flybirdy,推,未看先猜 一定是肥婆,03/22,2022,1
68,sellgd,→,瘦排骨身材是贏過女性嗎?,10/29,2022,2
69,Reventon,→,，竟然在網路上也會對龍妹暈船，就知龍,09/01,2021,1
70,yauaia,→,肥婆救援投手,11/26,2017,1
71,jrbobo,推,塔綠斑都又老又肥又醜又壞,11/12,2022,1
72,Muma5566,噓,腰不錯 但屁股塌 要健身才比較好看,06/15,2022,0
73,AInnor,噓,可憐 肥婆只剩下嘴砲而已 殺小都不會,10/03,2021,1
74,ken10201020,推,8+9年輕很瘦 幾年後變肥大肚子  猴子,08/19,2022,3
75,HsiangFly,噓,肥婆？,09/10,2022,1
76,s128222582,推,這是標題殺人吧 馬上示範不看內文的,09/06, 2022,0
77,zhutou,→,上面網址是斷骨術後  那雙腳也太瘦了,07/12,2022,2
78,darkbrigher,→,然後亞裔角色一定是又肥又胖又醜,04/25,2022,1
79,ggttoo,→,反觀某黨灑錢是綁樁、選舉、進口袋,10/16, 2022,0
80,tazkwan,推,柯P動用國家機器追…殺，嘿？,03/22, 2022,0
81,Butcherdon,推,肥仔 肥婆 死胖子,02/22,2022,1
82,Adicia,→,龍妹滾邊,12/18,2021,1
83,flyhattmann,推,發明類普篩 類火車那些人,08/10, 2022,0
84,henryhao,→,這沒什麼吧,11/05, 2021,0
85,dodomen,推,笑了,02/23, 2022,0
86,noabstersion,推,:這東西倒底誰提的?,06/06, 2013,0
87,este1a,→,桃園肥豬做點事好嗎？跟監察院那隻一樣廢,01/12,2022,1
88,AFISH111,推,大尺碼女是三小   肥婆?,08/31,2022,1
89,NEKOWORKi,→,台電還一堆不符合成本的為民服務行動,03/06, 2022,0
90,chachayu,→,是個肥婆嗎？,05/31,2022,1
91,sofaboy24,推,肥婆還給妳公主病、你不巴下去才怪,01/25,2022,1
92,a6444long,噓,who cares?滾!,04/12, 2022,0
93,eleon,推,鍵盤柯南,08/14, 2014,0
94,ionchips,→,帶了三個大男人要進家門不知道要幹嘛,01/12, 2022,0
95,motan,推,吃不下去,06/27, 2022,0
96,hugr85,推,你那十個大約有九個是辦公室,02/05, 2022,0
97,Stupidog5566,推,西洋肥婆?,03/27,2022,1
98,Dimitre,→,打贏防疫的選戰,10/08, 2022,0
99,StylishTrade,推,已經分裂啦 還好有老蔣 把他統一了,05/18, 2022,0
100,je789520,推,好爽簡單迴力鏢 哈哈,10/18, 2022,0
101,taikonkimo,→,不是一個驅逐艦就可以滅中國 其他航母,02/26, 2022,0
102,puretruthson,推,比拍噁片耍肥請爛律師的醜阿姨好多,10/30,2021,1
103,arcanite,→,心機肥婆表示:,04/23,2015,1
104,dsfrf,推,笑死，你他媽還不是神豬神豬一直叫。,02/21,2022,1
105,Alexei,→,純粹胖那不是豬嗎,04/14,2022,1
106,charsa,噓,真港凍,10/15, 2022,0
107,escescsoso,噓,幹 我怎麼就沒領到網軍的錢,06/22, 2022,0
108,AlohaVC,→,警察火拼？,08/23, 2022,0
109,hw1,推,免役死胖子有夠噁心,09/30,2022,1
110,lou3612,推,我醜男不找龍妹要單身一輩子嗎,02/07,2022,1
111,ElrosHsun,→,然後這些肥宅還會說喝水就會胖 建議基,09/02,2021,1
112,Irenicus,→,殺老人殺病人殺胖子殺醜男,05/07,2022,1
113,Belanice,推,你可以3天吃一餐，保証瘦，瘦成皮包骨,08/08,2022,2
114,crimson11,→,確實 人本來就厭惡胖子 像龍妹 肥宅,02/16,2022,1
115,Ahsoy,噓,肥宅快樂水是帶給快樂還是肥胖兇手,10/30,2021,0
116,amfive,推,死胖子打拋豬肉,10/23,2021,1
117,louise13,→,189國際賽打3號都完全沒有身材優勢,05/23,2022,0
118,wumins,→,肥油肚了,10/29,2021,1
119,GAGA1,推,瘦皮猴型的,06/11,2022,2
120,headcase,噓,胖妹醜女又怎樣？人家看得上你？,06/14,2022,1
121,myyalga,→,發電廠。都不蓋，用三小電！,12/17, 2021,0
122,diamond0326,推,幫QQ 齁齁不意外,03/26, 2022,0
123,pnsboy,噓,肥婆哪裡好,04/11,2022,1
124,pttisshit,推,嬰兒肥沒了變醜女,10/28,2021,0
125,nullife,→,遠逃多遠,11/24, 2021,0
126,diamondboy,→,"不得了，胖達人醜聞在大陸傳開了,壞事傳千里,名揚全球",08/23,2013,0
127,Louis5213,→,是想和正妹談戀愛吧，明明普妹龍妹一,10/17,2022,1
128,alwang      ,推,肥宅腿會斷,05/05,2022,1
129,kinve1014,噓,不是蛋沒增加 是你們吃太多 幹拎涼勒,10/03, 2022,0
130,sam4105112,推,館長那身材在這裡算瘦皮猴,03/05,2022,2
131,urban01,推,不過越南料理絕對比韓國料理好吃很多,04/14, 2022,0
132,turbomons,推,原來阿館也會有秀才遇到兵的一天,09/07, 2022,0
133,reebok2009,→,中比較實在,09/19, 2022,0
134,herculex,推,又胖又醜又黑，夠政治正確,02/20,2022,1
135,zxc7,→,男的 幾乎帥醜就很成形 例外很少 肥變瘦而已,04/10,2022,1
136,ev331,→,中年後就是臉垮脖子粗背厚水桶腰,10/24,2021,1
137,crimson11,→,被肛過 被龍妹強姦 どっち？,10/02,2021,1
138,twlicn,→,證就可以直接上公家辦的活動,10/22, 2022,0
139,starwillow,→,又醜又窮又肥也不打理自己又愛雙標，,04/19,2022,1
140,changefly,→,還是沒用,09/20, 2022,0
141,WSzc,→,這是暴肥版李奧納多,01/16,2016,1
142,qazStarStar,推,肥豬統噁 國動的身材比較好,10/13,2021,1
143,ssaymssik,→,住家格局大一點的,01/09, 2023,0
144,turbomons,推,大實話太誅心,06/09, 2022,0
145,fuckggrun,→,自以為是的死肥豬,05/21,2022,1
146,js52666,→,拜託體脂高的龍妹不要殘害大家的眼睛！,09/26,2022,1
147,mirac1e,噓,五短水桶腰普妹,10/18,2021,1
148,poiu98877,推,摸摸自己的肥肚再來談這個問題吧！,09/23,2021,1
149,alex00089,→,還有藝人？,09/29, 2022,0
150,gify,→,高虹安當選是不是會擋人財路,11/16, 2022,0
151,felixden,噓,根本錯了好嗎 肥宅和醜男才會去百元 帥,12/30,2021,1
152,GPX2020,推,30公分姐夫,12/18, 2022,0
153,shu925614,推,中和只感覺一下超大,04/24, 2022,0
154,dusted,→,行，建議大家有時間都可以好好互動,01/01, 2023,0
155,a8824031,推,一條人命18個月 鬼島新高度,09/07, 2022,0
156,kuo0528,推,多胖多醜？,12/16,2021,1
157,tigerface,→,的大人了，我女友就是這種，瘦不拉機是,11/26,2021,2
158,nikewang,→,何博文太胖 萊豬多吃點,12/15,2021,1
159,tearness,噓,正妹可以 但是我覺得你應該只有龍妹可吸,10/26,2021,1
160,zxzzzzzzzzzz,推,龍妹,10/26,2021,1
161,au1231,推,助人為快樂之本，多做善事吧！,12/25, 2022,0
162,dddc,噓,低能肥豬,10/02,2022,1
163,swgun,→,你是炫耀把 一堆人等著f奶龍妹,08/12,2022,1
164,s999132,→,心機女跟肥婆,06/18,2022,1
165,twPenn,推,我要肥宅的顏色,02/02, 2017,0
166,yoshilin,推,肥宅配恐龍妹,10/30,2021,1
167,jil,噓,以後小額叫商家不用開發票了 政府你爽了沒,12/08, 2021,0
168,yxl,推,大推分析，宋主席的態度，還有黃是否能從家,09/03, 2022,0
169,ElrosHsun,推,母肥豬真的有夠噁..,02/23,2022,1
170,sustaining,→,人造肥婆,02/26,2022,1
171,vking223,→,$，有錢你禿，肥，醜，都無所謂,09/13,2021,0
172,fim,推,他只是個孩子啊!!有什麼事情衝著我來!,12/07, 2022,0
173,andrew06,推,恐慌仔被媒體洗腦 o毒明明比流感還輕微,01/21, 2022,0
174,MichaelRedd,推,反觀,12/26, 2022,0
175,ev331,→,那個小腿好粗,06/12,2022,1
176,BBQ2591,噓,不會去住深山喔,10/25, 2022,0
177,pure9502,推,滾啦肥婆控,06/05,2022,1
178,as123985,噓,鄭運鵬會叫你別讓基層員警太累,03/26, 2022,0
179,survivalteru,噓,龍妹,10/06,2021,1
180,booth,→,打自己肥肚,06/18,2022,4
181,R10K,→,鳥仔腳超醜,09/21,2021,2
182,johnny9667,推,推,05/05, 2022,0
183,jewish123,推,現在av界紅的還是一堆鳥仔腿看了就倒,09/23,2021,2
184,fujimoto,→,台灣就是盤子多,10/06, 2022,0
185,requan,噓,神棍肥婆！滾！,01/09,2022,1
